l1=15, l2=12, l3=1, acc: 73.57%
l1=15, l2=13, l3=1, acc: 70.44%
l1=15, l2=14, l3=1, acc: 65.10%
l1=15, l2=15, l3=1, acc: 73.18%
l1=15, l2=16, l3=1, acc: 76.43%
l1=15, l2=17, l3=1, acc: 65.10%
l1=15, l2=18, l3=1, acc: 65.10%
l1=15, l2=19, l3=1, acc: 69.66%
l1=16, l2=10, l3=1, acc: 73.70%
l1=16, l2=11, l3=1, acc: 72.27%
l1=16, l2=12, l3=1, acc: 72.40%
l1=16, l2=13, l3=1, acc: 72.79%
l1=16, l2=14, l3=1, acc: 72.66%
l1=16, l2=15, l3=1, acc: 68.75%
l1=16, l2=16, l3=1, acc: 75.91%
l1=16, l2=17, l3=1, acc: 67.19%
l1=16, l2=18, l3=1, acc: 71.35%
l1=16, l2=19, l3=1, acc: 72.66%
l1=17, l2=10, l3=1, acc: 65.10%
l1=17, l2=11, l3=1, acc: 75.65%
l1=17, l2=12, l3=1, acc: 73.44%
l1=17, l2=13, l3=1, acc: 70.70%
l1=17, l2=14, l3=1, acc: 70.31%
l1=17, l2=15, l3=1, acc: 73.05%
l1=17, l2=16, l3=1, acc: 68.23%
l1=17, l2=17, l3=1, acc: 76.43%
l1=17, l2=18, l3=1, acc: 65.10%
l1=17, l2=19, l3=1, acc: 74.48%
l1=18, l2=10, l3=1, acc: 70.70%
l1=18, l2=11, l3=1, acc: 73.96%
l1=18, l2=12, l3=1, acc: 65.10%
l1=18, l2=13, l3=1, acc: 73.31%
l1=18, l2=14, l3=1, acc: 73.18%
l1=18, l2=15, l3=1, acc: 72.79%
l1=18, l2=16, l3=1, acc: 70.70%
l1=18, l2=17, l3=1, acc: 65.23%
l1=18, l2=18, l3=1, acc: 69.79%
l1=18, l2=19, l3=1, acc: 72.01%
l1=19, l2=10, l3=1, acc: 65.10%
l1=19, l2=11, l3=1, acc: 72.66%
l1=19, l2=12, l3=1, acc: 73.70%
l1=19, l2=13, l3=1, acc: 65.10%
l1=19, l2=14, l3=1, acc: 71.35%
l1=19, l2=15, l3=1, acc: 73.44%
l1=19, l2=16, l3=1, acc: 70.05%
l1=19, l2=17, l3=1, acc: 71.22%
l1=19, l2=18, l3=1, acc: 70.57%
l1=19, l2=19, l3=1, acc: 77.47%
l1=15, l2=10, l3=1, acc: 65.23%
l1=15, l2=11, l3=1, acc: 73.70%
l1=20, l2=20, l3=1, acc: 65.10%
l1=20, l2=21, l3=1, acc: 68.75%
l1=20, l2=22, l3=1, acc: 65.10%
l1=20, l2=23, l3=1, acc: 69.66%
l1=20, l2=24, l3=1, acc: 69.27%
l1=20, l2=25, l3=1, acc: 70.44%
l1=20, l2=26, l3=1, acc: 68.75%
l1=20, l2=27, l3=1, acc: 74.09%
l1=20, l2=28, l3=1, acc: 68.49%
l1=20, l2=29, l3=1, acc: 72.40%
l1=21, l2=20, l3=1, acc: 72.53%
l1=21, l2=21, l3=1, acc: 70.70%
l1=21, l2=22, l3=1, acc: 71.48%
l1=21, l2=23, l3=1, acc: 69.92%
l1=21, l2=24, l3=1, acc: 64.19%
l1=21, l2=25, l3=1, acc: 65.10%
l1=21, l2=26, l3=1, acc: 68.36%
l1=21, l2=27, l3=1, acc: 70.57%
l1=21, l2=28, l3=1, acc: 70.70%
l1=21, l2=29, l3=1, acc: 71.09%
l1=22, l2=20, l3=1, acc: 65.10%
l1=22, l2=21, l3=1, acc: 71.61%
l1=22, l2=22, l3=1, acc: 66.54%
l1=22, l2=23, l3=1, acc: 73.05%
l1=22, l2=24, l3=1, acc: 73.18%
l1=22, l2=25, l3=1, acc: 73.96%
l1=22, l2=26, l3=1, acc: 70.31%
l1=22, l2=27, l3=1, acc: 72.53%
l1=22, l2=28, l3=1, acc: 71.61%
l1=22, l2=29, l3=1, acc: 65.23%
l1=23, l2=20, l3=1, acc: 71.61%
l1=23, l2=21, l3=1, acc: 73.83%
l1=23, l2=22, l3=1, acc: 73.31%
l1=23, l2=23, l3=1, acc: 74.87%
l1=23, l2=24, l3=1, acc: 75.65%
l1=23, l2=25, l3=1, acc: 72.92%
l1=23, l2=26, l3=1, acc: 72.92%
l1=23, l2=27, l3=1, acc: 58.46%
l1=23, l2=28, l3=1, acc: 65.10%
l1=23, l2=29, l3=1, acc: 75.52%
l1=24, l2=20, l3=1, acc: 73.31%
l1=24, l2=21, l3=1, acc: 72.79%
l1=24, l2=22, l3=1, acc: 70.18%
l1=24, l2=23, l3=1, acc: 71.35%
l1=24, l2=24, l3=1, acc: 75.78%
l1=24, l2=25, l3=1, acc: 75.00%
l1=24, l2=26, l3=1, acc: 71.88%
l1=24, l2=27, l3=1, acc: 69.14%
l1=24, l2=28, l3=1, acc: 73.05%
l1=24, l2=29, l3=1, acc: 65.36%
l1=25, l2=20, l3=1, acc: 76.82%
l1=25, l2=21, l3=1, acc: 72.40%
l1=25, l2=22, l3=1, acc: 70.70%
l1=25, l2=23, l3=1, acc: 65.10%
l1=25, l2=24, l3=1, acc: 65.10%
l1=25, l2=25, l3=1, acc: 71.74%
l1=25, l2=26, l3=1, acc: 72.27%
l1=25, l2=27, l3=1, acc: 68.75%
l1=25, l2=28, l3=1, acc: 69.14%
l1=25, l2=29, l3=1, acc: 65.10%
l1=26, l2=20, l3=1, acc: 69.27%
l1=26, l2=21, l3=1, acc: 74.35%
l1=26, l2=22, l3=1, acc: 70.70%
l1=26, l2=23, l3=1, acc: 71.61%
l1=26, l2=24, l3=1, acc: 69.40%
l1=26, l2=25, l3=1, acc: 73.18%
l1=26, l2=26, l3=1, acc: 74.35%
l1=26, l2=27, l3=1, acc: 72.53%
l1=26, l2=28, l3=1, acc: 73.05%
l1=26, l2=29, l3=1, acc: 65.10%
l1=27, l2=20, l3=1, acc: 73.31%
l1=27, l2=21, l3=1, acc: 74.87%
l1=27, l2=22, l3=1, acc: 65.10%
l1=27, l2=23, l3=1, acc: 67.19%
l1=27, l2=24, l3=1, acc: 65.23%
l1=27, l2=25, l3=1, acc: 71.22%
l1=27, l2=26, l3=1, acc: 73.57%
l1=27, l2=27, l3=1, acc: 74.87%
l1=27, l2=28, l3=1, acc: 78.12%
